P1A	P2A	P1B	P2B	Jaccard
P19784	P24534	P19784	P04424	0.0555555555556
P19784	P24534	P19784	P05412	0.666666666667
P19784	P24534	P19784	P07237	0.111111111111
P19784	P24534	P19784	P07327	0.166666666667
P19784	P24534	P19784	P09497	0.5
P19784	P24534	P19784	P11387	0.181818181818
P19784	P24534	P19784	P11388	0.117647058824
P19784	P24534	P19784	P14598	0.666666666667
P19784	P24534	P19784	P15336	0.5
P19784	P24534	P19784	P16403	0.125
P19784	P24534	P19784	P16455	0.142857142857
P19784	P24534	P19784	P17096	0.0666666666667
P19784	P24534	P19784	P17931	0.111111111111
P19784	P24534	P19784	P18031	0.153846153846
P19784	P24534	P19784	P18846	0.4
P19784	P24534	P19784	P19338	0.142857142857
P19784	P32121	P19784	P32121	1.0
P19784	P32121	P19784	P36575	0.647058823529
P19784	P32121	P19784	P36897	0.565217391304
P19784	P32121	P19784	P37840	0.259259259259
P19784	P32121	P19784	P46087	0.25
P19784	P32121	P19784	P49770	0.722222222222
P19784	P32121	P19784	P49795	0.625
P19784	P32121	P19784	P60484	0.555555555556
P19784	P32121	P19784	P62158	0.235294117647
P19784	P32121	P19784	P67870	0.03125
P19784	P32121	P19784	P68400	0.705882352941
P19784	P32121	P19784	Q04206	0.684210526316
P19784	P32121	P19784	Q13351	0.294117647059
P19784	P32121	P19784	Q13541	0.1875
P19784	P32121	P19784	Q14166	0.454545454545
P19784	P32121	P19784	Q14995	0.117647058824
P19784	P32121	P19784	Q15649	0.1875
P19784	P32121	P19784	Q16623	0.647058823529
P19784	P32121	P19784	Q5JPJ8	0.1875
P19784	P32121	P19784	Q8N7H5	0.1875
P19784	P32121	P19784	Q8WV44	0.125
P19784	P32121	P19784	Q92598	0.416666666667
P19784	P32121	P19784	Q92793	0.434782608696
P19784	P32121	P19784	Q96C86	0.8125
P19784	P32121	P19784	Q96ST3	0.434782608696
P19784	P32121	P19784	Q9BS34	0.454545454545
P19784	P32121	P19784	Q9C0J9	0.0625
P19784	P32121	P19784	Q9H063	0.75
P19784	P32121	P19784	Q9HCE7	0.416666666667
P19784	P32121	P19784	Q9P2X7	0.434782608696
P19784	P32121	P19784	Q9P2Y4	0.454545454545
P19784	P32121	P19784	Q9UBN7	0.434782608696
P19784	P32121	P19784	Q9UNH7	0.1875
P19784	P32121	P19784	Q9Y6N6	0.454545454545
P19784	P32121	P19784	V9HWG3	0.416666666667
P19784	P32121	P19784	B4DEE8	0.764705882353
P19784	P32121	P19784	O00267	0.434782608696
P19784	P32121	P19784	O14503	0.0625
P19784	P32121	P19784	O60282	0.434782608696
P19784	P32121	P19784	O60341	0.588235294118
P19784	P32121	P19784	O95477	0.434782608696
P19784	P32121	P19784	P01100	0.3125
P19784	P32121	P19784	P04156	0.434782608696
P19784	P32121	P19784	P04424	0.5
P19784	P32121	P19784	P05412	0.1875
P19784	P32121	P19784	P07237	0.416666666667
P19784	P32121	P19784	P07327	0.647058823529
P19784	P32121	P19784	P09497	0.25
P19784	P32121	P19784	P11387	0.6875
P19784	P32121	P19784	P11388	0.434782608696
P19784	P32121	P19784	P14598	0.1875
P19784	P32121	P19784	P15336	0.25
P19784	P32121	P19784	P16403	0.454545454545
P19784	P32121	P19784	P16455	0.764705882353
P19784	P32121	P19784	P17096	0.363636363636
P19784	P32121	P19784	P17931	0.478260869565
P19784	P32121	P19784	P18031	0.705882352941
P19784	P32121	P19784	P18846	0.3125
P19784	P32121	P19784	P19338	0.294117647059
P19784	P36575	P19784	P36575	1.0
P19784	P36575	P19784	P36897	0.6
P19784	P36575	P19784	P37840	0.363636363636
P19784	P36575	P19784	P46087	0.333333333333
P19784	P36575	P19784	P49770	0.8
P19784	P36575	P19784	P49795	0.692307692308
P19784	P36575	P19784	P60484	0.714285714286
P19784	P36575	P19784	P62158	0.416666666667
P19784	P36575	P19784	P67870	0.0
P19784	P36575	P19784	P68400	0.666666666667
P19784	P36575	P19784	Q04206	0.75
P19784	P36575	P19784	Q13351	0.5
P19784	P36575	P19784	Q13541	0.25
P19784	P36575	P19784	Q14166	0.555555555556
P19784	P36575	P19784	Q14995	0.25
P19784	P36575	P19784	Q15649	0.25
P19784	P36575	P19784	Q16623	0.846153846154
P19784	P36575	P19784	Q5JPJ8	0.25
P19784	P36575	P19784	Q8N7H5	0.25
P19784	P36575	P19784	Q8WV44	0.166666666667
P19784	P36575	P19784	Q92598	0.5
P19784	P36575	P19784	Q92793	0.526315789474
P19784	P36575	P19784	Q96C86	0.666666666667
P19784	P36575	P19784	Q96ST3	0.526315789474
P19784	P36575	P19784	Q9BS34	0.555555555556
P19784	P36575	P19784	Q9C0J9	0.0833333333333
P19784	P36575	P19784	Q9H063	0.6
P19784	P36575	P19784	Q9HCE7	0.5
P19784	P36575	P19784	Q9P2X7	0.526315789474
P19784	P36575	P19784	Q9P2Y4	0.555555555556
P19784	P36575	P19784	Q9UBN7	0.526315789474
P19784	P36575	P19784	Q9UNH7	0.25
P19784	P36575	P19784	Q9Y6N6	0.555555555556
P19784	P36575	P19784	V9HWG3	0.5
P19784	P36575	P19784	B4DEE8	0.857142857143
P19784	P36575	P19784	O00267	0.526315789474
P19784	P36575	P19784	O14503	0.0833333333333
P19784	P36575	P19784	O60282	0.526315789474
P19784	P36575	P19784	O60341	0.769230769231
P19784	P36575	P19784	O95477	0.526315789474
P19784	P36575	P19784	P01100	0.416666666667
P19784	P36575	P19784	P04156	0.526315789474
P19784	P36575	P19784	P04424	0.611111111111
P19784	P36575	P19784	P05412	0.25
P19784	P36575	P19784	P07237	0.5
P19784	P36575	P19784	P07327	0.846153846154
P19784	P36575	P19784	P09497	0.333333333333
P19784	P36575	P19784	P11387	0.769230769231
P19784	P36575	P19784	P11388	0.526315789474
P19784	P36575	P19784	P14598	0.25
P19784	P36575	P19784	P15336	0.333333333333
P19784	P36575	P19784	P16403	0.555555555556
P19784	P36575	P19784	P16455	0.857142857143
P19784	P36575	P19784	P17096	0.368421052632
P19784	P36575	P19784	P17931	0.578947368421
P19784	P36575	P19784	P18031	0.666666666667
P19784	P36575	P19784	P18846	0.416666666667
P19784	P36575	P19784	P19338	0.5
P19784	P36897	P19784	P36897	1.0
P19784	P36897	P19784	P37840	0.52
P19784	P36897	P19784	P46087	0.2
P19784	P36897	P19784	P49770	0.75
P19784	P36897	P19784	P49795	0.5
P19784	P36897	P19784	P60484	0.52380952381
P19784	P36897	P19784	P62158	0.25
P19784	P36897	P19784	P67870	0.0
P19784	P36897	P19784	P68400	0.571428571429
P19784	P36897	P19784	Q04206	0.8
P19784	P36897	P19784	Q13351	0.3
P19784	P36897	P19784	Q13541	0.15
P19784	P36897	P19784	Q14166	0.5
P19784	P36897	P19784	Q14995	0.15
P19784	P36897	P19784	Q15649	0.15
P19784	P36897	P19784	Q16623	0.6
P19784	P36897	P19784	Q5JPJ8	0.15
P19784	P36897	P19784	Q8N7H5	0.15
P19784	P36897	P19784	Q8WV44	0.1
P19784	P36897	P19784	Q92598	0.52
P19784	P36897	P19784	Q92793	0.423076923077
P19784	P36897	P19784	Q96C86	0.5
P19784	P36897	P19784	Q96ST3	0.423076923077
P19784	P36897	P19784	Q9BS34	0.5
P19784	P36897	P19784	Q9C0J9	0.05
P19784	P36897	P19784	Q9H063	0.454545454545
P19784	P36897	P19784	Q9HCE7	0.52
P19784	P36897	P19784	Q9P2X7	0.423076923077
P19784	P36897	P19784	Q9P2Y4	0.5
P19784	P36897	P19784	Q9UBN7	0.423076923077
P19784	P36897	P19784	Q9UNH7	0.15
P19784	P36897	P19784	Q9Y6N6	0.5
P19784	P36897	P19784	V9HWG3	0.52
P19784	P36897	P19784	B4DEE8	0.7
P19784	P36897	P19784	O00267	0.423076923077
P19784	P36897	P19784	O14503	0.05
P19784	P36897	P19784	O60282	0.423076923077
P19784	P36897	P19784	O60341	0.55
P19784	P36897	P19784	O95477	0.423076923077
P19784	P36897	P19784	P01100	0.25
P19784	P36897	P19784	P04156	0.48
P19784	P36897	P19784	P04424	0.761904761905
P19784	P36897	P19784	P05412	0.15
P19784	P36897	P19784	P07237	0.52
P19784	P36897	P19784	P07327	0.6
P19784	P36897	P19784	P09497	0.2
P19784	P36897	P19784	P11387	0.55
P19784	P36897	P19784	P11388	0.48
P19784	P36897	P19784	P14598	0.15
P19784	P36897	P19784	P15336	0.2
P19784	P36897	P19784	P16403	0.5
P19784	P36897	P19784	P16455	0.7
P19784	P36897	P19784	P17096	0.416666666667
P19784	P36897	P19784	P17931	0.652173913043
P19784	P36897	P19784	P18031	0.5
P19784	P36897	P19784	P18846	0.25
P19784	P36897	P19784	P19338	0.3
P19784	P37840	P19784	P37840	1.0
P19784	P37840	P19784	P46087	0.1
P19784	P37840	P19784	P49770	0.375
P19784	P37840	P19784	P49795	0.217391304348
P19784	P37840	P19784	P60484	0.363636363636
P19784	P37840	P19784	P62158	0.210526315789
P19784	P37840	P19784	P67870	0.0
P19784	P37840	P19784	P68400	0.24
P19784	P37840	P19784	Q04206	0.416666666667
P19784	P37840	P19784	Q13351	0.2
P19784	P37840	P19784	Q13541	0.05
P19784	P37840	P19784	Q14166	0.307692307692
P19784	P37840	P19784	Q14995	0.105263157895
P19784	P37840	P19784	Q15649	0.05
P19784	P37840	P19784	Q16623	0.304347826087
P19784	P37840	P19784	Q5JPJ8	0.05
P19784	P37840	P19784	Q8N7H5	0.05
P19784	P37840	P19784	Q8WV44	0.0526315789474
P19784	P37840	P19784	Q92598	0.384615384615
P19784	P37840	P19784	Q92793	0.296296296296
P19784	P37840	P19784	Q96C86	0.24
P19784	P37840	P19784	Q96ST3	0.296296296296
P19784	P37840	P19784	Q9BS34	0.307692307692
P19784	P37840	P19784	Q9C0J9	0.0
P19784	P37840	P19784	Q9H063	0.2
P19784	P37840	P19784	Q9HCE7	0.384615384615
P19784	P37840	P19784	Q9P2X7	0.296296296296
P19784	P37840	P19784	Q9P2Y4	0.307692307692
P19784	P37840	P19784	Q9UBN7	0.296296296296
P19784	P37840	P19784	Q9UNH7	0.05
P19784	P37840	P19784	Q9Y6N6	0.307692307692
P19784	P37840	P19784	V9HWG3	0.384615384615
P19784	P37840	P19784	B4DEE8	0.333333333333
P19784	P37840	P19784	O00267	0.296296296296
P19784	P37840	P19784	O14503	0.0
P19784	P37840	P19784	O60282	0.296296296296
P19784	P37840	P19784	O60341	0.260869565217
P19784	P37840	P19784	O95477	0.296296296296
P19784	P37840	P19784	P01100	0.0952380952381
P19784	P37840	P19784	P04156	0.346153846154
P19784	P37840	P19784	P04424	0.521739130435
P19784	P37840	P19784	P05412	0.05
P19784	P37840	P19784	P07237	0.384615384615
P19784	P37840	P19784	P07327	0.363636363636
P19784	P37840	P19784	P09497	0.1
P19784	P37840	P19784	P11387	0.260869565217
P19784	P37840	P19784	P11388	0.346153846154
P19784	P37840	P19784	P14598	0.105263157895
P19784	P37840	P19784	P15336	0.1
P19784	P37840	P19784	P16403	0.307692307692
P19784	P37840	P19784	P16455	0.333333333333
P19784	P37840	P19784	P17096	0.230769230769
P19784	P37840	P19784	P17931	0.5
P19784	P37840	P19784	P18031	0.24
P19784	P37840	P19784	P18846	0.0952380952381
P19784	P37840	P19784	P19338	0.2
P19784	P46087	P19784	P46087	1.0
P19784	P46087	P19784	P49770	0.266666666667
P19784	P46087	P19784	P49795	0.4
P19784	P46087	P19784	P60484	0.230769230769
P19784	P46087	P19784	P62158	0.0
P19784	P46087	P19784	P67870	0.0
P19784	P46087	P19784	P68400	0.307692307692
P19784	P46087	P19784	Q04206	0.25
P19784	P46087	P19784	Q13351	0.428571428571
P19784	P46087	P19784	Q13541	0.75
P19784	P46087	P19784	Q14166	0.176470588235
P19784	P46087	P19784	Q14995	0.4
P19784	P46087	P19784	Q15649	0.75
P19784	P46087	P19784	Q16623	0.333333333333
P19784	P46087	P19784	Q5JPJ8	0.75
P19784	P46087	P19784	Q8N7H5	0.75
P19784	P46087	P19784	Q8WV44	0.5
P19784	P46087	P19784	Q92598	0.222222222222
P19784	P46087	P19784	Q92793	0.166666666667
P19784	P46087	P19784	Q96C86	0.307692307692
P19784	P46087	P19784	Q96ST3	0.166666666667
P19784	P46087	P19784	Q9BS34	0.176470588235
P19784	P46087	P19784	Q9C0J9	0.25
P19784	P46087	P19784	Q9H063	0.333333333333
P19784	P46087	P19784	Q9HCE7	0.222222222222
P19784	P46087	P19784	Q9P2X7	0.166666666667
P19784	P46087	P19784	Q9P2Y4	0.176470588235
P19784	P46087	P19784	Q9UBN7	0.166666666667
P19784	P46087	P19784	Q9UNH7	0.75
P19784	P46087	P19784	Q9Y6N6	0.176470588235
P19784	P46087	P19784	V9HWG3	0.222222222222
P19784	P46087	P19784	B4DEE8	0.285714285714
P19784	P46087	P19784	O00267	0.166666666667
P19784	P46087	P19784	O14503	0.25
P19784	P46087	P19784	O60282	0.166666666667
P19784	P46087	P19784	O60341	0.363636363636
P19784	P46087	P19784	O95477	0.166666666667
P19784	P46087	P19784	P01100	0.8
P19784	P46087	P19784	P04156	0.235294117647
P19784	P46087	P19784	P04424	0.166666666667
P19784	P46087	P19784	P05412	0.75
P19784	P46087	P19784	P07237	0.222222222222
P19784	P46087	P19784	P07327	0.333333333333
P19784	P46087	P19784	P09497	1.0
P19784	P46087	P19784	P11387	0.363636363636
P19784	P46087	P19784	P11388	0.235294117647
P19784	P46087	P19784	P14598	0.75
P19784	P46087	P19784	P15336	1.0
P19784	P46087	P19784	P16403	0.176470588235
P19784	P46087	P19784	P16455	0.285714285714
P19784	P46087	P19784	P17096	0.2
P19784	P46087	P19784	P17931	0.222222222222
P19784	P46087	P19784	P18031	0.307692307692
P19784	P46087	P19784	P18846	0.8
P19784	P46087	P19784	P19338	0.428571428571
P19784	P49770	P19784	P49770	1.0
P19784	P49770	P19784	P49795	0.666666666667
P19784	P49770	P19784	P60484	0.6875
P19784	P49770	P19784	P62158	0.333333333333
P19784	P49770	P19784	P67870	0.0
P19784	P49770	P19784	P68400	0.75
P19784	P49770	P19784	Q04206	0.823529411765
P19784	P49770	P19784	Q13351	0.4
P19784	P49770	P19784	Q13541	0.2
P19784	P49770	P19784	Q14166	0.55
P19784	P49770	P19784	Q14995	0.2
P19784	P49770	P19784	Q15649	0.2
P19784	P49770	P19784	Q16623	0.8
P19784	P49770	P19784	Q5JPJ8	0.2
P19784	P49770	P19784	Q8N7H5	0.2
P19784	P49770	P19784	Q8WV44	0.133333333333
P19784	P49770	P19784	Q92598	0.5
P19784	P49770	P19784	Q92793	0.52380952381
P19784	P49770	P19784	Q96C86	0.647058823529
P19784	P49770	P19784	Q96ST3	0.52380952381
P19784	P49770	P19784	Q9BS34	0.55
P19784	P49770	P19784	Q9C0J9	0.0666666666667
P19784	P49770	P19784	Q9H063	0.588235294118
P19784	P49770	P19784	Q9HCE7	0.5
P19784	P49770	P19784	Q9P2X7	0.52380952381
P19784	P49770	P19784	Q9P2Y4	0.55
P19784	P49770	P19784	Q9UBN7	0.52380952381
P19784	P49770	P19784	Q9UNH7	0.2
P19784	P49770	P19784	Q9Y6N6	0.55
P19784	P49770	P19784	V9HWG3	0.5
P19784	P49770	P19784	B4DEE8	0.933333333333
P19784	P49770	P19784	O00267	0.52380952381
P19784	P49770	P19784	O14503	0.0666666666667
P19784	P49770	P19784	O60282	0.52380952381
P19784	P49770	P19784	O60341	0.733333333333
P19784	P49770	P19784	O95477	0.52380952381
P19784	P49770	P19784	P01100	0.333333333333
P19784	P49770	P19784	P04156	0.52380952381
P19784	P49770	P19784	P04424	0.6
P19784	P49770	P19784	P05412	0.2
P19784	P49770	P19784	P07237	0.5
P19784	P49770	P19784	P07327	0.8
P19784	P49770	P19784	P09497	0.266666666667
P19784	P49770	P19784	P11387	0.733333333333
P19784	P49770	P19784	P11388	0.52380952381
P19784	P49770	P19784	P14598	0.2
P19784	P49770	P19784	P15336	0.266666666667
P19784	P49770	P19784	P16403	0.55
P19784	P49770	P19784	P16455	0.933333333333
P19784	P49770	P19784	P17096	0.380952380952
P19784	P49770	P19784	P17931	0.571428571429
P19784	P49770	P19784	P18031	0.647058823529
P19784	P49770	P19784	P18846	0.333333333333
P19784	P49770	P19784	P19338	0.4
P19784	P49795	P19784	P49795	1.0
P19784	P49795	P19784	P60484	0.466666666667
P19784	P49795	P19784	P62158	0.25
P19784	P49795	P19784	P67870	0.0
P19784	P49795	P19784	P68400	0.769230769231
P19784	P49795	P19784	Q04206	0.625
P19784	P49795	P19784	Q13351	0.454545454545
P19784	P49795	P19784	Q13541	0.3
P19784	P49795	P19784	Q14166	0.368421052632
P19784	P49795	P19784	Q14995	0.181818181818
P19784	P49795	P19784	Q15649	0.3
P19784	P49795	P19784	Q16623	0.692307692308
P19784	P49795	P19784	Q5JPJ8	0.3
P19784	P49795	P19784	Q8N7H5	0.3
P19784	P49795	P19784	Q8WV44	0.2
P19784	P49795	P19784	Q92598	0.4
P19784	P49795	P19784	Q92793	0.35
P19784	P49795	P19784	Q96C86	0.769230769231
P19784	P49795	P19784	Q96ST3	0.35
P19784	P49795	P19784	Q9BS34	0.368421052632
P19784	P49795	P19784	Q9C0J9	0.1
P19784	P49795	P19784	Q9H063	0.833333333333
P19784	P49795	P19784	Q9HCE7	0.4
P19784	P49795	P19784	Q9P2X7	0.35
P19784	P49795	P19784	Q9P2Y4	0.368421052632
P19784	P49795	P19784	Q9UBN7	0.35
P19784	P49795	P19784	Q9UNH7	0.3
P19784	P49795	P19784	Q9Y6N6	0.368421052632
P19784	P49795	P19784	V9HWG3	0.4
P19784	P49795	P19784	B4DEE8	0.714285714286
P19784	P49795	P19784	O00267	0.35
P19784	P49795	P19784	O14503	0.1
P19784	P49795	P19784	O60282	0.35
P19784	P49795	P19784	O60341	0.75
P19784	P49795	P19784	O95477	0.35
P19784	P49795	P19784	P01100	0.5
P19784	P49795	P19784	P04156	0.421052631579
P19784	P49795	P19784	P04424	0.5
P19784	P49795	P19784	P05412	0.3
P19784	P49795	P19784	P07237	0.4
P19784	P49795	P19784	P07327	0.571428571429
P19784	P49795	P19784	P09497	0.4
P19784	P49795	P19784	P11387	0.909090909091
P19784	P49795	P19784	P11388	0.421052631579
P19784	P49795	P19784	P14598	0.3
P19784	P49795	P19784	P15336	0.4
P19784	P49795	P19784	P16403	0.368421052632
P19784	P49795	P19784	P16455	0.714285714286
P19784	P49795	P19784	P17096	0.411764705882
P19784	P49795	P19784	P17931	0.4
P19784	P49795	P19784	P18031	0.769230769231
P19784	P49795	P19784	P18846	0.5
P19784	P49795	P19784	P19338	0.454545454545
P19784	P60484	P19784	P60484	1.0
P19784	P60484	P19784	P62158	0.416666666667
P19784	P60484	P19784	P67870	0.0357142857143
P19784	P60484	P19784	P68400	0.5625
P19784	P60484	P19784	Q04206	0.555555555556
P19784	P60484	P19784	Q13351	0.285714285714
P19784	P60484	P19784	Q13541	0.153846153846
P19784	P60484	P19784	Q14166	0.473684210526
P19784	P60484	P19784	Q14995	0.25
P19784	P60484	P19784	Q15649	0.153846153846
P19784	P60484	P19784	Q16623	0.6
P19784	P60484	P19784	Q5JPJ8	0.153846153846
P19784	P60484	P19784	Q8N7H5	0.153846153846
P19784	P60484	P19784	Q8WV44	0.166666666667
P19784	P60484	P19784	Q92598	0.428571428571
P19784	P60484	P19784	Q92793	0.45
P19784	P60484	P19784	Q96C86	0.5625
P19784	P60484	P19784	Q96ST3	0.45
P19784	P60484	P19784	Q9BS34	0.473684210526
P19784	P60484	P19784	Q9C0J9	0.0833333333333
P19784	P60484	P19784	Q9H063	0.5
P19784	P60484	P19784	Q9HCE7	0.428571428571
P19784	P60484	P19784	Q9P2X7	0.45
P19784	P60484	P19784	Q9P2Y4	0.473684210526
P19784	P60484	P19784	Q9UBN7	0.45
