uniprot	template_length	target_length	template_pdb	target_begin	target_end	sequence_identity	model_score	modpipe_quality_score	zDOPE	eVALUE	modbase_modelID
P19784	326	350	3amy	3	329	86	1.0	1.97989	-1.29	0.0	ada7451578ec9fb5006aa791b82dd1ac
P19784	328	350	3bqc	3	331	86	1.0	2.04	-1.54	0.0	dfd493a05146b75e21ea61b7c670b81f
P19784	329	350	1ymi	3	332	85	1.0	2.07	-2.19	0.0	5b736acf49f89e4491478087c6b8cbba
P19784	329	350	2r7i	2	331	60	1.0	1.33	0.04	0.0	b4051cb3db0aa100089a75c330a6587e
P19784	329	350	2rkp	3	332	85	1.0	2.04	-1.61	0.0	dfe791d6885078b090b942543eec00c9
P19784	331	350	2rkp	3	334	86	1.0	2.05	-1.56	0.0	68468d6dcd9b8779b82879d23a5ed5a4
P19784	331	350	3war	3	334	86	1.0	2.04517	-1.51	0.0	79445bd2ecb7a079378a2d88bdc4e9fd
P19784	331	350	3war	3	334	86	1.0	2.04527	-1.51	0.0	cc6a64862e7c1d16ee80871bc4206cee
P19784	332	350	3war	2	334	86	1.0	1.98693	-1.54	0.0	dc966c1beceeab903c640198f3c9b722
P19784	333	350	3e3b	1	334	100	1.0	2.10229	-0.62	0.0	7acb346e2d5a326feb77683001ed1f55
P19784	335	350	3coi	15	350	24	1.0	0.7646	0.91	0.0	b270a5285cbeae8c9db1e8f1a5441d40
P19784	335	350	3coi	15	350	26	0.91	0.8025	0.75	0.0	82fd6e29a0585595ecb47c36d4022adb
P19784	340	350	1j1b	10	350	26	1.0	0.797786	0.73	0.0	47d46521b46dc1cd6e83c4cc14d1a33c
P19784	345	350	1rdq	3	348	23	1.0	1.04	0.4	0.0	f1e31f8ed1b0f127eb68c055b7116d0e
P19784	346	350	1rdq	3	349	22	1.0	1.1	-0.32	0.0	592460237d3b8ee01d7592d049717771
P21964	132	271	3e05	102	234	17	0.92	0.654275	-0.19	0.0	8cd1f81ec347ccbf1f461f182e700d11
P21964	135	271	3eey	99	234	16	0.74	0.650345	0.06	0.0	0c74254d66271fd40ecbfbf1af0f9aaa
P21964	138	271	2esr	96	234	18	0.75	0.699015	0.12	0.0	7d1de4768f95b4e8d86117f3afaff3bd
P21964	166	271	2gpy	56	222	32	1.0	0.828236	0.22	4.3e-06	817b2d402c88495a788a9239f824dd54
P21964	172	271	2gpy	56	228	21	1.0	0.930476	-0.69	0.0	783dbd939dc2a7e0668b0f9c50f59aab
P21964	172	271	3tfw	55	227	23	1.0	0.958376	-0.26	0.0	ff8f4bd8960725e5f451ed304bcc0593
P21964	172	271	3tfw	55	227	23	1.0	0.968376	-0.36	0.0	cc1226d2e8b206a10ae1c0835af71dc1
P21964	172	271	3tfw	55	227	23	1.0	0.968376	-0.36	0.0	de03e93256ee9e1dd5de5ea60cc9d5a4
P21964	179	271	3r3h	48	227	23	1.0	0.933707	-0.1	0.0	462f5923d20b243d858f485a343e2d10
P21964	212	271	3bwy	53	265	100	1.0	1.94	-1.82	0.0	1d10790b6c910143b50a6ab5ea2851b9
P21964	212	271	4pyi	54	266	100	1.0	2.02528	-1.64	0.0	5f082626dce39a3208d5423d7c760d2b
P21964	213	271	2cl5	52	265	81	1.0	1.81	-2.11	0.0	d38ed562551e8c656d1efb30fb6f0364
P21964	213	271	2cl5	52	265	81	1.0	1.86	-1.62	0.0	49504b4a0271ffadc092e7edc31cb890
P21964	213	271	3bwy	52	265	100	1.0	2.04	-1.8	0.0	4d2bbfcccb94d510878b2a80a9516da5
P21964	213	271	3bwy	52	265	100	1.0	2.06	-1.8	0.0	daa7a60f236775b251076930cb89276a
P21964	213	271	3bwy	52	265	100	1.0	2.06637	-1.83	0.0	b42657f11bd7a166bdd078c1ef54d309
P21964	213	271	3bwy	52	265	100	1.0	2.06647	-1.83	0.0	59a95ddcce18039840ca39b3999b2fca
P21964	215	271	3u81	52	267	82	1.0	1.87485	-1.63	0.0	05da1c7166367c1da69cddda4d2c5a83
P21964	216	271	3u81	52	268	82	1.0	1.85494	-1.61	0.0	1e98c5bc65342a00a64afeeb451fa32b
P21964	216	271	3u81	52	268	82	1.0	1.85694	-1.62	0.0	a9679559e43aeabe3117f91506491143
P21964	216	271	3u81	52	268	82	1.0	1.87094	-1.6	0.0	785f768ee729e86bd911646f9960b420
P21964	217	271	3c3y	52	269	16	1.0	0.953728	-0.01	0.0	87d341f017c9c209b727a31864a4834c
P21964	222	271	1sui	47	269	22	1.0	0.98	0.21	0.0	82cc15ff3d41c373ca91d0b00efb76bd
P21964	222	271	1sui	47	269	23	1.0	0.89	0.36	0.0	c94a024c330e7453f01791cdfefd922c
P21964	253	271	3dmg	1	254	13	0.14	0.638069	1.28	0.0	1d66dfc2cbd3dfd34b231e404e36c319
P21964	253	271	3dmg	1	254	15	0.19	0.672169	1.29	0.0	8c5a2f36e032e8d79cabb5cf56c211fd
P27448	107	753	1v5s	646	753	81	1.0	0.973026	-0.61	0.0	a9c3d64e26563b880cc31224d25a726b
P27448	247	753	3ckx	59	306	32	1.0	-9998.32	-0.35	0.0	d2b716ed0a7686149dddfa03144da011
P27448	252	753	3ckx	55	307	24	1.0	0.710989	-0.51	0.0	afb724ed79916682db5a4a4451c73f17
P27448	264	753	3dls	43	307	36	1.0	-9998.19	-0.5	0.0	5cbf396d6b79b2b4b3126c7713b0ed15
P27448	266	753	3dls	42	308	13	0.15	0.439582	0.6	0.0	804c611f1977dc64ec4a94f42ace706e
P27448	311	753	2hak	51	362	88	1.0	1.49	-1.53	0.0	c6130dc9c254246fe5f5963bd7830863
P27448	316	753	3fe3	50	366	99	1.0	1.61728	-1.39	0.0	175d9ff70857a85a6bee10aea5316665
P27448	316	753	3fe3	50	366	99	1.0	1.63508	-1.4	0.0	32b25b451d53e077290f976ae7db1dc7
P27448	367	753	2etr	1	368	24	1.0	0.61	-0.15	0.0	6945be66ca488010264c740c15b4e7fe
P27448	407	753	3nyv	54	461	32	1.0	0.864133	-0.15	0.0	2a069e6b62ba02d83b85e99e0c0a27dc
P27448	408	753	1ym7	48	456	20	1.0	0.540861	0.62	0.0	0e7b6f752fae38bd4d6ee01e1b9564af
P27448	454	753	3pvu	1	455	22	1.0	0.68585	0.47	0.0	4f47bf674698709cc93ea7b0e151a627
P27448	94	753	1ul7	659	753	98	1.0	1.22	-1.22	0.0	7bae6fff47a34f97ad72a74f334e4e64
P27448	99	753	3ose	654	753	93	1.0	-9997.67	-1.63	0.0	f1b3efe835d12d0dc0844ee440ef40c8
P27448	99	753	3ose	654	753	93	1.0	1.3119	-1.65	0.0	69ba1a92d262171d98cceaf179c35d3c
P62330	144	175	1efm	14	158	17	0.49	0.89	0.7	0.0	c967c7de4d6a8c127f57f6c4226235da
P62330	160	175	1lnz	11	171	20	0.98	1.0618	-0.06	0.0	568adf9e310a48275d4d9d6597ab62a1
P62330	162	175	2a5d	12	174	100	1.0	2.27	-2.58	0.0	1f2018fcb01bc4bbeb1a9bfcc60947f1
P62330	162	175	2a5d	12	174	100	1.0	2.28	-2.62	0.0	517ea323fd81654203c363ec7c3aec34
P62330	162	175	2a5d	12	174	100	1.0	2.28	-2.63	0.0	94ba6a19f2dfd1556ade48355689af5d
P62330	162	175	2a5d	12	174	100	1.0	2.31	-2.96	0.0	d77a666d4f63dd85be299e54f6bca9ef
P62330	162	175	2a5d	12	174	100	1.0	2.31	-2.96	0.0	e4b833c6ce92c3e4f5a9bbbaa1eb3f39
P62330	163	175	1upt	12	175	55	1.0	1.80394	-2.25	0.0	cc61073f04bd5108380ebd84a1ce4100
P62330	164	175	1upt	11	175	55	1.0	1.81016	-2.31	0.0	918f11bc12bba4927d389e7999bc71d6
P62330	167	175	1r8q	8	175	71	1.0	1.91	-1.46	0.0	3c5463900c3bc0b64173749903819fc3
P62330	168	175	1pui	5	173	11	0.04	0.986414	-0.18	0.0	49962170c4076c1565c645949e505f02
P62330	171	175	3lvq	3	174	96	1.0	2.19526	-1.63	0.0	2b75da4030f95b38136e6171a8aa2afe
P62330	171	175	3lvq	3	174	96	1.0	2.20276	-1.69	0.0	3ec6729f9642ed64458c05c7649ce722
P62330	171	175	3lvq	3	174	96	1.0	2.21166	-1.78	0.0	9a37ae3bfc71e718794e890d0c9da602
P62330	171	175	3lvq	3	174	96	1.0	2.21166	-1.78	0.0	c684943538ec3c63b3cae10b6a5f8081
P62330	171	175	3lvq	3	174	96	1.0	2.21386	-1.79	0.0	eb2038538a395ded44e15321684ffc29
P62330	173	175	1mr3	2	175	66	1.0	1.9	-2.43	0.0	d36ed1c36f1bb6cfd8223523fdae85db
P62330	173	175	3aq4	2	175	70	1.0	1.93009	-1.84	0.0	08362b0fdb5094f69859c5df4274a769
P62330	174	175	1ksg	1	175	46	1.0	1.69	-1.58	0.0	fb9a916618507db06d01c531af50322c
P62330	174	175	1ksg	1	175	46	1.0	1.69	-1.6	0.0	d541852ce63762457bed80f5878653f7
P62330	174	175	1moz	1	175	50	1.0	1.67	-1.82	0.0	ea79694d7742d19d71376e375b7a855e
P62330	174	175	1r8q	1	175	68	1.0	1.8559	-1.66	0.0	72674ebcbe1595b5b24b5fb3bbde09eb
Q8IWA5	193	706	4kly	263	456	13	0.08	0.378788	-0.02	0.55	7d15208cb195f46ef5021277816ba91f
Q8IWA5	287	706	2r6g	245	532	17	0.11	0.192132	2.26	0.0	0d9f5da816a4409d1f8c1ec97ac89746
Q8IWA5	311	706	4cox	1	312	15	0.95	-0.00457365	1.19	0.0	219fd4d8e6d0aff21864ab3a93d2a803
Q8IWA5	59	706	3b5d	219	278	25	0.02	-0.261014	5.37	0.0	e2fe69ba560996aeed1a13adccdbc86b
Q8IWA5	66	706	2qoj	634	700	42	0.01	0.105501	2.74	0.44	c7bc728a45fdd22a328383ebb6b5197c
Q8IWA5	66	706	2qoj	634	700	42	0.01	0.131301	2.48	0.83	4c51d3e45b615b2d14e91cccf0af1b45
Q8IWA5	66	706	2qoj	634	700	42	0.01	0.147001	2.33	0.58	50b773887c151618fd4e8ea4b9a24e45
Q8IWA5	66	706	3eh8	634	700	42	0.01	0.133601	2.46	0.38	ac36f8acab9fca74a6d04989abc2919c
Q8IWA5	66	706	3eh8	634	700	42	0.01	0.160401	2.19	0.67	1982a9de3f9f38160c62c1679b27b7ca
Q8IWA5	703	706	2vz8	1	704	14	0.77	0.49	1.93	0.0	1d3b0ff19be3b2d27e72cd04aba07990
Q8TEQ8	119	1089	3b5q	244	363	25	0.76	0.238793	0.69	0.5	7dc0dbf5412b411ca7840c3e4467a2a1
Q8TEQ8	142	1089	1p49	229	371	29	0.51	0.205813	0.89	0.8	1bb49de8488c461f3728b88db19af2dd
Q8TEQ8	142	1089	1p49	229	371	29	0.71	0.211013	1.03	0.52	07cee0c9843b474ca2f18d57bfb55000
Q8TEQ8	151	1089	3b5q	244	395	22	0.17	0.1	1.17	0.00015	06a48362b754282f8eba127eb39a1fb5
Q8TEQ8	187	1089	2ify	159	346	19	0.99	0.290735	-0.11	0.0	ce64f2d1e8430cc14c260c07961dd249
Q8TEQ8	187	1089	2ify	159	346	19	1.0	0.276435	0.07	0.0	730b4929869d123cb5fcd010c8275d59
Q8TEQ8	187	1089	2ify	159	346	19	1.0	0.307535	-0.26	0.0	895710b471a87230b07aaf7d28616064
Q8TEQ8	187	1089	2ify	159	346	19	1.0	0.475135	-0.34	0.0	728ef8e66baea609b3255be8cd67e73e
Q8TEQ8	194	1089	2ify	151	345	21	1.0	0.27	0.39	0.0	1b8ff7d98aa6437dad1c180c3576b7dc
Q8TEQ8	212	1089	1xio	643	855	7	0.01	0.184492	0.3	0.41	e36da71c20b238091a0a78bce43a7b63
Q8TEQ8	221	1089	3nvl	115	336	14	1.0	0.171857	0.63	0.0	f44a91e8dcbc349234443ce1bc12a505
Q8TEQ8	237	1089	1o98	108	345	15	0.99	0.212549	0.92	0.0	f6a363840bab2ad7aa55dc89d428c359
Q8TEQ8	250	1089	3nkm	36	286	18	0.22	0.253587	0.81	0.0	6a74094d7259c8e7db2c86e4f12a96de
Q8TEQ8	258	1089	1l9b	504	762	11	0.03	0.0919329	1.99	0.03	3aac9a0f20b47d462f863221dc52af0e
Q8TEQ8	281	1089	2gso	67	348	17	0.98	-0.0580468	-0.08	0.0	c929f0e8b97a4c10cad844d9dabdb93c
Q8TEQ8	283	1089	2gso	66	349	16	0.92	-0.18	-0.41	0.0	23497038462ecd1cbc2d03174e830fd7
Q8TEQ8	303	1089	2gfp	650	953	20	0.04	0.0992552	2.22	0.0	f51fc4e3234afa38fa8626732dad1f3c
Q8TEQ8	303	1089	2gfp	650	953	20	0.08	0.121455	2.04	0.0	383f0542c213e727d47268ac98b6967e
Q8TEQ8	303	1089	2gfp	650	953	20	0.09	0.130955	1.98	0.0	79be37617d5e3af85a86976d802470af
Q8TEQ8	305	1089	1y6v	29	334	13	0.75	-0.28	0.06	0.0	c854836626cb221bd6c53d812f3e8c26
Q8TEQ8	362	1089	1hdh	66	428	15	0.96	0.02	-0.36	0.0	cfd4d0a12b44eab4a158f199b88fcf9c
Q8TEQ8	368	1089	1hdh	66	434	14	0.98	0.01	-0.34	0.0	f107e9c94f82000053af56b5ec77f0c9
Q8TEQ8	382	1089	3b5q	66	448	12	0.9	0.233699	0.45	0.0	2e0d365004d863d73b356ed8e9778502
Q8TEQ8	382	1089	3b5q	66	448	15	1.0	0.16	0.3	0.0	09df7a1fa9e82b375f2a63c5511b55b5
Q8TEQ8	45	1089	2xrg	235	280	46	0.47	0.406841	0.34	0.038	8dcfc84ad88a7a17e35c4ddc062f7116
Q8TEQ8	45	1089	2xrg	235	280	46	0.74	0.449941	0.19	0.031	50792967027ec211d526629ac32173eb
Q8TEQ8	45	1089	3nkq	235	280	41	0.77	0.456941	-0.35	0.043	b64faf5e957f15df50b59881cb7c2557
Q8TEQ8	45	1089	5dlt	235	280	46	0.54	0.405041	0.41	0.058	5173f260aaad2b043bf65fe7649431ae
Q8TEQ8	45	1089	5dlt	235	280	46	0.71	0.450341	0.13	0.059	f9ca8886918c437c6a6d26f09baf4cca
Q8TEQ8	46	1089	4lr2	235	281	43	0.52	0.446759	-0.5	0.045	c8f51da03c72a29353d856405e66882a
Q8TEQ8	46	1089	4lr2	235	281	43	0.56	0.449259	-0.5	0.065	2f5a480e1264d88ad6bb05aec9a81845
Q8TEQ8	46	1089	5veo	235	281	40	0.62	0.457959	-0.63	0.31	dae06b4f29aa8fcbb296d7f6c5bc0eb7
Q8TEQ8	510	1089	2gsm	496	1006	10	0.03	0.414138	0.76	0.0059	4785a2be0516ee3bbc966741aa1597a4
Q8TEQ8	86	1089	3rlb	479	565	33	0.12	0.0413898	2.23	0.18	2d43bf0351291d3a86f524a6473fd987
Q8TEQ8	86	1089	4mes	479	565	33	0.07	0.0494898	2.09	0.24	917dde401f2135e27f9b436933f1fa12
Q8TEQ8	86	1089	4mes	479	565	33	0.09	0.0589898	2.0	0.34	33d438ddf0821ae21ec3e9c948ed2304
Q92769	103	488	5cwh	375	478	9	0.0	0.478515	-1.86	0.0	cf40ad8aa6a2d34d879f5d2725563bf9
Q92769	124	488	3k29	361	485	25	0.41	0.608548	-1.48	0.1	91ca6573b3aa9c9ca5e05bcc9ef3fc2e
Q92769	339	488	1t64	33	372	44	1.0	1.43	-2.03	0.0	cb1338ed783fe3fa44bd276e43fdc91c
Q92769	361	488	1t64	13	374	42	1.0	1.4	-1.58	0.0	566cc72a6165b1003a7d0bd736855d10
Q92769	362	488	1t64	12	374	42	1.0	1.36	-2.25	0.0	fc51b6a777baa20dc08c3f9aedd09e7b
Q92769	365	488	2nvr	11	376	22	1.0	0.88	-0.6	0.0	602b20d9a43f67164cd5d0f32b34af61
Q92769	365	488	3max	9	374	100	1.0	2.0458	-2.02	0.0	8f4664ce6ffdeb2b0bd7ed92acfd67eb
Q92769	365	488	3max	9	374	99	1.0	2.0355	-2.02	0.0	5f0d6c07ffc3e06c3d6d2aa1bac50abf
Q92769	366	488	3max	8	374	100	1.0	2.04905	-2.02	0.0	505f9057ad1cbc0156c57e94c4bff80f
Q92769	366	488	3max	8	374	100	1.0	2.05805	-2.1	0.0	5b5a0d138753fa80582c032327afacc1
Q92769	368	488	4bkx	9	377	94	1.0	1.97635	-1.86	0.0	69a04a07b26ca7083f7db9013a1c385e
Q92769	368	488	4bkx	9	377	94	1.0	1.97835	-1.88	0.0	25c094d0cdb91c86fd21f7fe9814a9f4
Q92769	368	488	4bkx	9	377	94	1.0	1.97985	-1.9	0.0	2aa480cf34972a5f9e19d26b7a97f2ec
Q92769	383	488	2vqq	9	392	26	1.0	1.01209	-0.14	0.0	cb397118060fc9b4baf6d5254adbd891
Q92769	394	488	1c3p	10	404	32	1.0	1.14943	-0.59	0.0	27cb83b2859a420112c0c797e5536711
Q92769	409	488	5g0i	12	421	16	1.0	0.990064	0.52	4.4e-06	a7fa2f262519c8337728f8decff587aa
Q92769	415	488	6ufo	13	428	16	1.0	0.993559	0.24	3.2e-05	23123f81cb2b202c19488b562f47949d
Q92769	61	488	5m4t	419	480	16	0.0	0.426949	-1.51	0.0	8cb497360d5f3f379e833fe290bc1067
